Participant Number,Track ID,Full Text ,Positive,Favourite,Negative,Familiar,Unfamiliar,Musical Expressive Characteristics,Lyrics,Musical Meaning,Bass Line,Beat,Hook ,Instrumentation,Melody,Performer,Production,Rhythm,Riffs-Ornamentation,Song Structure/Composition,Sound ,Style,Tempo ,Vocals,Album,Artist ,Era ,Genre,Version,Other Forms of Media,Film,Music Video ,Musical,Playlist,Television,Memory,Discovery,Emotion,Event/Concert,Personal Event,Vacation,Place ,Time or Stage in Life,Girft/Recommendation ,Rediscovery,Reminisce- Nostalgia,Personal Performance ,People,Being Alone,Family ,Friends,Loss of a person,Romantic relationship,Recommendation from Friend/Family ,Accompaniment,Dancing,Driving ,Exercising ,Partying ,Singing ,Sleeping ,Walking ,Working ,Imagination,Season/time of day/weather,Christmas,Summer,Create Atmosphere,Change Mood,Stress/Frustration/Tension,Calm,Energy,Happiness-good mood,Motivation/focus,Sadness,Match Mood,No relationship,Participating in the study 
354,b,"Reminds me of the movie that I really liked. Rita looked very sexy in the movie and the music serves as a reminder to this. Her dances were great/I really liked it in the movie and then searched a long time on youtube. When i found it i had to save it on my phone/Makes me happy! ... and same as above. Reminds me of he great move and Rita acting in it. /Yes, through the movie and singer. It reminds me of the people i watched the movie with, especially my best friend",,,,,,,,,,,,,,,,,,,,,,,,"Yes, through the movie and singer. It reminds me of the people i watched the movie with, especially my best friend",,,,,"Reminds me of the movie that I really liked. Rita looked very sexy in the movie and the music serves as a reminder to this. Her dances were great/ /I really liked it in the movie and then searched a long time on youtube/ Reminds me of he great move and Rita acting in it. / Yes, through the movie and singer. It reminds me of the people i watched the movie with, especially my best friend",,,When i found it i had to save it on my phone,,,,,,,,,,,,,,,,,"Yes, through the movie and singer. It reminds me of the people i watched the movie with, especially my best friend",,,,,,,,,,,,,,,,,,,,,,Makes me happy! ... ,,,,,
355,a,"Summer days and optimism is the first thing that comes to mind when I hear this track./I choose to save this track because it makes me feel good./I enjoy the track because its a great feel good song with a great bass line and an uplifting chorus./Yes, it reminds me of good times in the summer.",I enjoy the track because its a great feel good song with a great bass line and an uplifting chorus.,,,,,,,,I enjoy the track because its a great feel good song with a great bass line and an uplifting chorus.,,,,,,,,,I enjoy the track because its a great feel good song with a great bass line and an uplifting chorus.,,,,,,,,,,,,,,I choose to save this track because it makes me feel good,,,,"Yes, it reminds me of good times in the summer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Summer days and optimism is the first thing that comes to mind when I hear this track/ Yes, it reminds me of good times in the summer.",,,,,,I choose to save this track because it makes me feel good,,,,,
355,b,"50's nostalgia./It has a nice relaxed vibe for background music./I love soul music and this track has a nice rhythm./No, its just a nice soul song to me.",,,,,,,,,,,,,,,,I love soul music and this track has a nice rhythm.,,,,,,,,,50's nostalgia.,"I love soul music and this track has a nice rhythm./ /No, its just a nice soul song to me.",,,,,,,,,,,,,,,,,,50's nostalgia.,,,,,,,,,/It has a nice relaxed vibe for background music.,,,,,,,,,,,,,,,,,,,,,,"/No, its just a nice soul song to me.",
356,a,"Fun, easy listening/It's a fun tune, that I could swing dance to./I can enter a make believe world, and not worry./No - I it's not my favourite song, but it's ok",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It's a fun tune, that I could swing dance to",,,,,,,,"I can enter a make believe world, and not worry.",,,,,,,"I can enter a make believe world, and not worry.",,,,,,"No - I it's not my favourite song, but it's ok",
356,b,"Swing dancing, fun, fitness, smiling/It's the third version of All That Jazz I have.  It's a great, uplifting, tune and words.  Her voice is a good match to the music/""I enjoy because it's a different version to Catherine Zeta-Jones, but I don't enjoy it because it's not as good as Catherine Zeta-Jones'.It's sensual and fun.""/""Yes It's my favourite jazz/swing song.  I've social danced to it twice.""","It's a great, uplifting, tune and words. ","/""Yes It's my favourite jazz/swing song",,,,Fun,"It's a great, uplifting, tune and words. ",".It's sensual and fun.""",,,,,"It's a great, uplifting, tune and words. ",,,,,,,,, Her voice is a good match to the music,,,,"/""Yes It's my favourite jazz/swing song","It's the third version of All That Jazz I have./ ""I enjoy because it's a different version to Catherine Zeta-Jones, but I don't enjoy it because it's not as good as Catherine Zeta-Jones'.",,,,,,,,,"Swing dancing, fun, fitness, smiling",,,,,,,,,,,,,,,,,,"Swing dancing, fun, fitness, smiling/  I've social danced to it twice.""",,"Swing dancing, fun, fitness, smiling",,,,,,,,,,,,,,,"It's a great, uplifting, tune and words. ",,,,,
357,a,Seeing them live at 02 arena /Big fan of the Foo Fighters /Real upbeat rock n roll/No ,,,,,,,,,,/Real upbeat rock n roll,,,,,,,,,,,,,,Big fan of the Foo Fighters ,,/Real upbeat rock n roll,,,,,,,,,,,Seeing them live at 02 arena ,,,Seeing them live at 02 arena ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/No ,
357,b,"My partner /Love guns n roses/Very exciting song , loud and fast/Yes , it reminds me of all the times my partner and I see guns n roses",,,,,,,,,,,,,,,,,,,,,"Very exciting song , loud and fast",,,"Love guns n roses/ Yes , it reminds me of all the times my partner and I see guns n roses",,,,,,,,,,,,,,,,,,,,,,,,,,,"My partner/ Yes , it reminds me of all the times my partner and I see guns n roses",,,,,,,,,,,,,,,,,,,,,,,,,
358,a,"The Olympics, I think for some reason, I confuse it in my mind Vangelis and associate it with Chariots of Fire./I really enjoy the combination of powerful natural percussion and synthetic melody as well as the use of dynamics./It is powerful and rousing for when motivation is low./No. It's just a tune that I've probably picked up as part of my dad's influence",,,,,,It is powerful and rousing for when motivation is low.,,,,,,I really enjoy the combination of powerful natural percussion and synthetic melody as well as the use of dynamics,I really enjoy the combination of powerful natural percussion and synthetic melody as well as the use of dynamics,,,,,,,,,,,"The Olympics, I think for some reason, I confuse it in my mind Vangelis and associate it with Chariots of Fire./",,,,,,,,,,,,,,,,,,,,,,,,No. It's just a tune that I've probably picked up as part of my dad's influence,,,,,,,,,,,,,,,,,,,,,,,,,,,No. It's just a tune that I've probably picked up as part of my dad's influence,
358,b,"Learning to play the lead guitar part as a young teenager in a bid to impress my bandmates./I was a big fan of the Britpop era when I first started listening to music and had the Moseley Souls album on cassette as a child./It has a really strong guitar riff and I like the texture of the vocals./Yes. I remember it being on one of the first albums I owned as a child and, later, playing a very dubious cover of it in a band aged 13 or 14.",,,,,,,,,,,,/It has a really strong guitar riff and I like the texture of the vocals.,,,,,/It has a really strong guitar riff and I like the texture of the vocals.,,,,,/It has a really strong guitar riff and I like the texture of the vocals.,"I was a big fan of the Britpop era when I first started listening to music and had the Moseley Souls album on cassette as a child./ Yes. I remember it being on one of the first albums I owned as a child and, later, playing a very dubious cover of it in a band aged 13 or 14.",,I was a big fan of the Britpop era when I first started listening to music and had the Moseley Souls album on cassette as a child.,,,,,,,,,,,,,,,,"Yes. I remember it being on one of the first albums I owned as a child and, later, playing a very dubious cover of it in a band aged 13 or 14.",,,,Learning to play the lead guitar part as a young teenager in a bid to impress my bandmates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,a,Dancing/Makes me feel good/It is lively and uplifting/I dance to it a lot,,,,,,It is lively and uplifting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dancing/ I dance to it a lot,,,,,,,,,,,,,Makes me feel good,,,,,,,,,
359,b,Sadness /I like their music and it means something to me/I like this type of music/It was a sad time in my life,/I like their music and it means something to me/ I like this type of music,,,,,,,/I like their music and it means something to me,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sadness/ /It was a sad time in my life,,,,,/It was a sad time in my life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,a,"Fun! Also, an A level set piece that I tutored a neighbour on a few years ago, and one of the first pieces I owned on LP as a teenager./As part of tutoring an A level student./It reminds me of the TV cartoon 'Ludwig' (1980?) which used this music and prompted me to buy the LP. The cartoon 'Ludwig' (and its music - all Beethoven!) validated my interest in classical music, which otherwise set me somewhat apart from peers at school./""?? I don't understand this question, beyond what I've said above - which IS my relationship to this track. (So it's a 'Yes' and 'As above')I don't listen to it regularly - only Shuffle brought it up. But a delight!""","I don't listen to it regularly - only Shuffle brought it up. But a delight!""",,,,,,,,,,,,,,,,,,,,,,/It reminds me of the TV cartoon 'Ludwig' (1980?) which used this music and prompted me to buy the LP. ," The cartoon 'Ludwig' (and its music - all Beethoven!) validated my interest in classical music, which otherwise set me somewhat apart from peers at school.",," The cartoon 'Ludwig' (and its music - all Beethoven!) validated my interest in classical music, which otherwise set me somewhat apart from peers at school.",,,,,,"I don't listen to it regularly - only Shuffle brought it up. But a delight!""","/It reminds me of the TV cartoon 'Ludwig' (1980?) which used this music and prompted me to buy the LP. /  The cartoon 'Ludwig' (and its music - all Beethoven!) validated my interest in classical music, which otherwise set me somewhat apart from peers at school.",,,,,,,,"Fun! Also, an A level set piece that I tutored a neighbour on a few years ago, and one of the first pieces I owned on LP as a teenager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don’t understand this question
